[310, 106.35] AVG: 84.23
[311, 106.30] AVG: 84.77
[312, 106.67] AVG: 85.75
[313, 109.87] AVG: 83.75
[314, 106.40] AVG: 86.06
[315, 103.31] AVG: 84.05
[316, 105.90] AVG: 85.61
[317, 108.73] AVG: 85.56
[318, 105.53] AVG: 86.33
[319, 113.79] AVG: 86.07
[320, 106.75] AVG: 84.68
[321, 106.75] AVG: 86.18
[322, 107.92] AVG: 86.97
[323, 106.63] AVG: 86.77
[324, 106.12] AVG: 84.87
[325, 110.65] AVG: 85.63
[326, 109.26] AVG: 85.89
[327, 112.30] AVG: 86.88
[328, 110.01] AVG: 89.66
[329, 115.85] AVG: 89.66
[330, 108.95] AVG: 88.88
[331, 115.00] AVG: 90.57
[332, 116.10] AVG: 91.93
[333, 110.18] AVG: 91.99
[334, 113.15] AVG: 89.74
[335, 114.02] AVG: 86.11
[336, 109.67] AVG: 91.19
[337, 115.60] AVG: 91.01
[338, 112.83] AVG: 90.57
[339, 111.68] AVG: 92.25
[340, 117.55] AVG: 92.07
[341, 115.26] AVG: 91.12
[342, 115.05] AVG: 92.73
[343, 111.53] AVG: 94.03
[344, 119.35] AVG: 93.76
[345, 114.24] AVG: 95.60
[346, 119.50] AVG: 96.61
[347, 115.46] AVG: 94.27
[348, 118.87] AVG: 95.81
[349, 119.46] AVG: 92.57
[350, 118.50] AVG: 96.03
[351, 114.79] AVG: 95.52
[352, 113.12] AVG: 94.76
[353, 119.64] AVG: 94.73
[354, 121.49] AVG: 94.79
[355, 116.40] AVG: 96.77
[356, 114.95] AVG: 96.15
[357, 118.00] AVG: 95.77
[358, 123.75] AVG: 96.17
[359, 121.56] AVG: 97.26
[360, 117.95] AVG: 96.57
[361, 117.65] AVG: 97.54
[362, 115.10] AVG: 96.20
[363, 116.46] AVG: 96.54
[364, 122.22] AVG: 97.03
[365, 124.24] AVG: 96.51
[366, 119.26] AVG: 97.46
[367, 119.15] AVG: 96.65
[368, 115.74] AVG: 97.33
[369, 123.87] AVG: 98.40
[370, 120.07] AVG: 100.14
[371, 120.71] AVG: 98.90
[372, 123.25] AVG: 99.02
[373, 118.20] AVG: 98.41
[374, 120.65] AVG: 98.37
[375, 121.28] AVG: 98.92
[376, 123.45] AVG: 98.74
[377, 116.34] AVG: 98.20
[378, 124.25] AVG: 99.77
[379, 124.24] AVG: 97.69
[380, 123.69] AVG: 100.03
[381, 126.01] AVG: 99.98
[382, 126.70] AVG: 99.13
[383, 118.50] AVG: 98.70
[384, 119.01] AVG: 99.42
[385, 116.98] AVG: 99.36
[386, 122.58] AVG: 97.55
[387, 117.71] AVG: 99.19
[388, 122.66] AVG: 101.52
[389, 124.15] AVG: 99.50
[390, 122.15] AVG: 97.59
[391, 124.54] AVG: 96.18
[392, 125.85] AVG: 98.65
[393, 125.06] AVG: 102.71
[394, 124.55] AVG: 102.20
[395, 126.40] AVG: 102.33
[396, 121.20] AVG: 102.55
[397, 124.25] AVG: 98.53
[398, 123.55] AVG: 102.87
[399, 120.91] AVG: 103.66
[400, 127.25] AVG: 104.37
[401, 125.35] AVG: 105.21
[402, 132.87] AVG: 106.06
[403, 130.80] AVG: 105.98
[404, 126.15] AVG: 106.51
[405, 124.71] AVG: 106.96
